ëŒäOèÿåîìäéëÅyãèèZé“Ç…ÇÊÇÈéÊìæÅEèàï™Åz,,,,,,,,,,,,,,ëŒì‡èÿåîìäéëÅyîÒãèèZé“Ç…ÇÊÇÈéÊìæÅEèàï™Åz,,,,,,,,,,,è¨åv,çáåv
Portfolio Investment Assets,,,,,,,,,,,,,,Portfolio Investment Liabilities,,,,,,,,,,,Subtotal,Total
,,,äîéÆÅEìäéëÉtÉ@ÉìÉhéùï™,,,íÜÅ@í∑Å@ä˙Å@ç¬,,,è¨åv,íZÅ@Å@ä˙Å@Å@ç¬,,,çáåv,äîéÆÅEìäéëÉtÉ@ÉìÉhéùï™,,,íÜÅ@í∑Å@ä˙Å@ç¬,,,è¨åv,íZÅ@Å@ä˙Å@Å@ç¬,,,çáåv,ÉlÉbÉg,ÉlÉbÉg
,,,Equity and investment fund shares,,,Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Equity and investment fund shares,,,Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Net,Net
,,,éÊìæ,èàï™,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,ÅiA-B),(C-D)
,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net (A),Acquisition,Disposition,Net,Net (C),Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net (B),Acquisition,Disposition,Net,Net (D),,
2007,ÇPåé,Jan,"17,460","21,582","-4,122","66,635","66,468",167,"-3,954","6,471","6,583",-112,"-4,066","240,307","223,808","16,499","95,017","75,636","19,381","35,880","24,010","22,136","1,873","37,753","-39,834","-41,820"
(ïΩê¨19îN),ÇQåé,Feb,"20,956","16,990","3,967","66,984","85,885","-18,902","-14,935","5,489","5,935",-445,"-15,380","289,822","269,523","20,299","81,553","62,245","19,308","39,607","31,550","39,699","-8,149","31,458","-54,542","-46,838"
,ÇRåé,Mar,"20,925","18,106","2,818","89,119","93,688","-4,568","-1,750","10,510","9,329","1,181",-568,"308,193","310,280","-2,087","96,651","91,808","4,842","2,756","31,270","34,646","-3,377",-621,"-4,506",52
,ÇSåé,Apr,"19,067","18,956",111,"85,105","72,425","12,680","12,791","9,336","11,255","-1,919","10,872","261,920","253,113","8,807","69,899","63,616","6,283","15,090","22,010","36,654","-14,644",446,"-2,299","10,427"
,ÇTåé,May,"22,756","20,396","2,360","84,861","77,934","6,927","9,287","8,482","9,680","-1,198","8,089","291,770","281,133","10,638","82,926","71,735","11,192","21,829","30,865","23,278","7,587","29,417","-12,543","-21,327"
,ÇUåé,Jun,"24,426","25,306",-880,"106,483","114,523","-8,040","-8,919","8,549","9,493",-944,"-9,863","288,829","277,428","11,401","111,634","122,948","-11,314",88,"28,826","30,770","-1,944","-1,856","-9,007","-8,007"
,ÇVåé,Jul,"21,393","24,126","-2,733","114,391","120,989","-6,598","-9,332","9,618","8,971",646,"-8,685","278,830","271,579","7,251","99,512","97,825","1,687","8,938","30,290","34,250","-3,959","4,979","-18,270","-13,664"
,ÇWåé,Aug,"22,223","21,688",535,"159,418","166,322","-6,904","-6,369","10,583","10,075",508,"-5,861","373,586","386,295","-12,709","154,218","116,133","38,085","25,376","62,744","43,639","19,105","44,481","-31,744","-50,342"
,ÇXåé,Sep,"21,054","20,313",741,"151,016","117,982","33,034","33,775","10,188","11,152",-965,"32,810","225,977","231,780","-5,803","74,923","81,401","-6,478","-12,281","53,026","31,009","22,016","9,736","46,056","23,075"
,10åé,Oct,"24,135","25,086",-952,"127,708","99,382","28,325","27,374","14,488","12,766","1,722","29,096","293,734","289,910","3,824","90,101","76,154","13,947","17,771","32,213","42,606","-10,393","7,378","9,603","21,718"
,11åé,Nov,"26,679","26,796",-117,"171,503","166,156","5,346","5,230","14,220","13,047","1,174","6,403","300,455","309,897","-9,441","98,798","87,103","11,695","2,254","79,433","35,308","44,124","46,378","2,976","-39,975"
,12åé,Dec,"18,033","18,184",-151,"90,473","78,955","11,518","11,367","6,116","8,961","-2,845","8,523","218,224","225,483","-7,259","67,888","76,576","-8,688","-15,947","91,260","50,154","41,106","25,159","27,314","-16,636"
2008,ÇPåé,Jan,"28,245","21,614","6,631","162,691","137,458","25,233","31,863","8,031","7,048",983,"32,846","290,219","304,797","-14,579","93,345","87,250","6,095","-8,483","72,195","86,792","-14,597","-23,081","40,347","55,927"
(ïΩê¨20îN),ÇQåé,Feb,"22,802","17,489","5,313","131,939","122,494","9,445","14,758","11,558","10,038","1,520","16,278","265,178","266,240","-1,063","71,378","76,786","-5,408","-6,470","85,148","76,117","9,030","2,560","21,229","13,719"
,ÇRåé,Mar,"19,780","17,031","2,749","132,144","122,243","9,900","12,649","7,975","10,688","-2,713","9,937","241,494","258,679","-17,184","134,126","146,181","-12,055","-29,240","93,308","90,569","2,739","-26,501","41,889","36,438"
,ÇSåé,Apr,"21,297","19,673","1,624","110,003","117,615","-7,613","-5,989","7,709","8,381",-672,"-6,661","238,396","226,553","11,843","92,564","90,913","1,651","13,494","120,286","101,093","19,193","32,687","-19,483","-39,348"
,ÇTåé,May,"20,940","19,713","1,227","83,276","62,994","20,283","21,510","8,482","7,049","1,432","22,942","240,792","231,770","9,022","60,731","67,765","-7,034","1,988","106,603","74,465","32,138","34,126","19,522","-11,184"
,ÇUåé,Jun,"17,141","16,226",915,"106,676","98,697","7,980","8,894","6,394","5,754",640,"9,534","234,941","234,493",448,"74,964","83,358","-8,394","-7,946","117,065","104,210","12,855","4,909","16,840","4,625"
,ÇVåé,Jul,"20,692","17,936","2,756","111,931","112,220",-289,"2,467","8,612","8,267",345,"2,813","233,046","244,080","-11,033","60,459","44,521","15,938","4,904","125,643","109,575","16,067","20,971","-2,437","-18,159"
,ÇWåé,Aug,"15,811","17,251","-1,439","119,741","138,367","-18,626","-20,065","10,673","8,250","2,423","-17,642","201,516","205,453","-3,936","70,891","43,228","27,663","23,726","85,183","89,768","-4,585","19,141","-43,792","-36,784"
,ÇXåé,Sep,"20,190","18,767","1,422","144,003","143,926",77,"1,500","8,815","11,366","-2,551","-1,051","220,001","231,390","-11,389","87,748","93,952","-6,205","-17,593","91,772","104,534","-12,762","-30,355","19,093","29,304"
,10åé,Oct,"31,118","18,967","12,151","170,387","168,238","2,149","14,300","5,623","6,130",-507,"13,793","228,892","242,093","-13,201","66,951","93,562","-26,612","-39,813","113,147","111,283","1,864","-37,949","54,113","51,742"
,11åé,Nov,"28,044","13,622","14,422","138,597","132,529","6,068","20,490","4,910","4,397",513,"21,003","133,090","146,481","-13,390","35,899","52,696","-16,797","-30,187","86,312","91,204","-4,892","-35,079","50,677","56,082"
